station_code,station_latitude_deg,station_longitude_deg,site_key,mesh_code,jcode,avs30_mps,arv,avs_eb_mps,avs_ref,jshis_known
HKD086,42.8526,143.8636,HKD086|42.8526|143.8636,6443262913,8.0,398.6,1.003,,0.0,1
HKD086,42.8542,143.8579,HKD086|42.8542|143.8579,6443262841,13.0,169.0,2.0834,,0.0,1
HKD087,43.1502,143.8916,HKD087|43.1502|143.8916,6443578112,8.0,508.2,0.8155,,0.0,1
HKD088,43.4716,143.7483,HKD088|43.4716|143.7483,6543156942,1.0,641.3,0.6689,,0.0,1
HKD089,43.2436,143.5544,HKD089|43.2436|143.5544,6443649412,10.0,365.0,1.0812,,0.0,1
HKD090,43.1213,143.6183,HKD090|43.1213|143.6183,6443544932,10.0,357.6,1.1001,,0.0,1
HKD091,42.8087,143.6588,HKD091|42.8087|143.6588,6443157221,10.0,285.6,1.3325,,0.0,1
HKD092,42.9283,143.4483,HKD092|42.9283|143.4483,6443331524,13.0,168.1,2.0932,,0.0,1
HKD093,43.3191,143.3049,HKD093|43.3191|143.3049,6443728414,8.0,510.6,0.8122,,0.0,1
HKD094,43.1694,143.2408,HKD094|43.1694|143.2408,6443610914,8.0,326.8,1.188,,0.0,1
HKD095,42.9311,143.2137,HKD095|42.9311|143.2137,6443311731,11.0,308.5,1.2477,,0.0,1
HKD096,42.6975,143.1356,HKD096|42.6975|143.1356,6443013042,8.0,359.8,1.0945,,0.0,1
HKD097,42.6181,143.4209,HKD097|42.6181|143.4209,6343734321,10.0,324.9,1.1937,,0.0,1
HKD098,42.4984,143.2787,HKD098|42.4984|143.2787,6343529234,8.0,420.8,0.9577,,0.0,1
HKD099,43.0736,142.8395,HKD099|43.0736|142.8395,6442468733,9.0,312.7,1.2334,,0.0,1
HKD100,42.2864,143.312,HKD100|42.2864|143.3120,6343324424,8.0,440.8,0.9205,,0.0,1
HKD101,43.3338,142.9473,HKD101|43.3338|142.9473,6542070522,8.0,524.5,0.7938,,0.0,1
HKD102,42.8775,142.4484,HKD102|42.8775|142.4484,6442235524,8.0,517.7,0.8027,,0.0,1
HKD103,42.7275,142.2973,HKD103|42.7275|142.2973,6442027324,8.0,455.5,0.8952,,0.0,1
HKD104,42.5886,142.131,HKD104|42.5886|142.1310,6342710032,9.0,318.5,1.2144,,0.0,1
HKD105,42.4825,142.0543,HKD105|42.4825|142.0543,6342507434,18.0,194.5,1.8484,,0.0,1
HKD106,42.3414,142.3688,HKD106|42.3414|142.3688,6342420943,13.0,159.4,2.1904,,0.0,1
HKD107,42.4194,142.4992,HKD107|42.4194|142.4992,6342530924,10.0,344.9,1.1347,,0.0,1
HKD109,42.1678,142.7673,HKD109|42.1678|142.7673,6342260112,20.0,253.3,1.4761,,0.0,1
HKD110,42.1306,142.9353,HKD110|42.1306|142.9353,6342175442,15.0,207.5,1.749,,0.0,1
HKD111,42.017,143.1487,HKD111|42.0170|143.1487,6343012122,15.0,207.5,1.749,,0.0,1
HKD112,41.937,143.2403,HKD112|41.9370|143.2403,6243712913,8.0,361.9,1.0889,,0.0,1
HKD113,42.1287,143.3153,HKD113|42.1287|143.3153,6343125513,15.0,207.5,1.749,,0.0,1
HKD115,44.0071,142.1484,HKD115|44.0071|142.1484,6642010144,13.0,187.8,1.9042,,0.0,1
HKD119,43.5199,142.1914,HKD119|43.5199|142.1914,6542212514,8.0,466.6,0.8769,,0.0,1
HKD124,42.9986,141.7904,HKD124|42.9986|141.7904,6441369333,13.0,177.9,1.9945,,0.0,1
HKD125,42.7608,142.1346,HKD125|42.7608|142.1346,6442111024,8.0,471.7,0.8689,,0.0,1
HKD126,42.575,141.9279,HKD126|42.5750|141.9279,6341679411,13.0,160.1,2.182,,0.0,1
